index,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT
43,Ensenada,1,Ensenada,0435,55,57.0,3.0,0.0,6.0,7.53,3.15,20.0,0.88,3.0,4.0,24.0
44,Ensenada,1,Ensenada,0435,56,60.0,3.0,3.0,6.0,8.95,2.22,20.0,0.76,3.53,9.0,16.0
45,Ensenada,1,Ensenada,0435,57,13.0,0.0,0.0,0.0,9.0,3.33,3.0,1.08,4.33,9.0,5.0
46,Ensenada,1,Ensenada,0435,58,40.0,3.0,0.0,0.0,8.57,2.07,14.0,1.0,3.64,9.0,10.0
47,Ensenada,1,Ensenada,0435,59,119.0,3.0,3.0,0.0,12.84,1.3,34.0,0.85,3.72,26.0,42.0
48,Ensenada,1,Ensenada,0435,61,48.0,3.0,3.0,0.0,8.83,2.23,25.0,0.79,2.82,5.0,18.0
49,Ensenada,1,Ensenada,0435,62,5.0,3.0,3.0,0.0,8.83,2.23,1.0,0.79,2.82,5.0,18.0
50,Ensenada,1,Ensenada,0435,63,15.0,3.0,3.0,0.0,13.91,1.33,6.0,0.79,3.75,4.0,7.0
51,Ensenada,1,Ensenada,0435,64,52.0,3.0,3.0,3.0,11.93,1.23,19.0,0.69,3.25,13.0,15.0
52,Ensenada,1,Ensenada,0435,66,39.0,3.0,3.0,3.0,13.5,1.64,13.0,0.68,3.55,11.0,7.0
53,Ensenada,1,Ensenada,0435,67,3.0,3.0,3.0,3.0,13.5,1.64,1.0,0.68,3.55,11.0,7.0
54,Ensenada,1,Ensenada,0435,68,50.0,3.0,3.0,3.0,13.29,1.6,18.0,0.79,4.17,10.0,22.0
55,Ensenada,1,Ensenada,0435,69,54.0,0.0,3.0,3.0,11.87,1.17,20.0,0.64,3.38,13.0,14.0
56,Ensenada,1,Ensenada,0435,70,50.0,0.0,3.0,3.0,12.06,1.6,16.0,0.62,3.33,10.0,10.0
57,Ensenada,1,Ensenada,0435,71,47.0,0.0,3.0,3.0,12.64,2.24,14.0,0.8,4.27,9.0,17.0
58,Ensenada,1,Ensenada,0435,73,435.0,17.0,21.0,10.0,11.47,1.68,175.0,0.88,3.3,93.0,107.0
59,Ensenada,1,Ensenada,0435,74,70.0,5.0,21.0,10.0,11.1,2.08,24.0,0.95,3.68,14.0,22.0
60,Ensenada,1,Ensenada,0435,75,74.0,5.0,21.0,10.0,10.96,1.54,30.0,1.0,3.36,13.0,17.0
61,Ensenada,1,Ensenada,0435,77,63.0,5.0,4.0,3.0,8.94,1.86,21.0,0.91,3.71,5.0,22.0
62,Ensenada,1,Ensenada,0435,79,17.0,5.0,4.0,0.0,8.44,3.17,6.0,0.82,3.5,5.0,8.0
63,Ensenada,1,Ensenada,0435,80,54.0,5.0,4.0,7.0,8.16,2.5,25.0,0.74,2.68,6.0,20.0
64,Ensenada,1,Ensenada,0435,82,44.0,5.0,4.0,4.0,10.15,2.72,17.0,0.71,2.93,7.0,11.0
65,Ensenada,1,Ensenada,0435,83,7.0,0.0,0.0,4.0,6.33,3.33,3.0,0.78,2.33,7.0,0.0
66,Ensenada,1,Ensenada,0435,84,27.0,0.0,4.0,4.0,7.67,2.23,8.0,1.69,3.86,7.0,6.0
68,Ensenada,1,Ensenada,044A,1,22.0,0.0,4.0,3.0,8.69,2.2,9.0,0.73,2.75,3.0,8.0
69,Ensenada,1,Ensenada,044A,2,28.0,3.0,4.0,7.0,10.0,3.31,11.0,0.68,2.55,4.0,7.0
70,Ensenada,1,Ensenada,044A,3,56.0,3.0,4.0,7.0,12.15,2.13,18.0,0.57,3.5,10.0,16.0
71,Ensenada,1,Ensenada,044A,4,75.0,3.0,4.0,9.0,11.59,2.14,25.0,0.67,3.26,17.0,15.0
72,Ensenada,1,Ensenada,044A,6,65.0,3.0,4.0,10.0,10.25,2.09,24.0,0.64,2.95,14.0,21.0
73,Ensenada,1,Ensenada,044A,7,72.0,4.0,4.0,7.0,9.67,2.23,23.0,0.71,3.13,11.0,17.0
74,Ensenada,1,Ensenada,044A,8,95.0,6.0,0.0,17.0,10.24,2.67,33.0,0.58,3.39,20.0,24.0
75,Ensenada,1,Ensenada,044A,9,69.0,0.0,0.0,13.0,9.95,2.84,22.0,0.68,3.45,13.0,20.0
76,Ensenada,1,Ensenada,044A,10,92.0,3.0,3.0,11.0,11.2,1.73,41.0,0.62,3.07,16.0,26.0
77,Ensenada,1,Ensenada,044A,11,90.0,4.0,4.0,4.0,8.95,2.49,27.0,0.94,3.75,7.0,21.0
78,Ensenada,1,Ensenada,044A,15,63.0,4.0,3.0,9.0,9.2,2.96,20.0,0.66,3.32,9.0,25.0
79,Ensenada,1,Ensenada,044A,16,127.0,4.0,7.0,10.0,11.11,1.73,56.0,0.7,2.89,24.0,32.0
80,Ensenada,1,Ensenada,044A,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Ensenada,1,Ensenada,044A,20,28.0,0.0,0.0,0.0,7.45,2.3,5.0,1.65,5.6,0.0,7.0
82,Ensenada,1,Ensenada,044A,21,21.0,0.0,0.0,4.0,9.5,2.5,9.0,0.7,2.63,3.0,11.0
83,Ensenada,1,Ensenada,044A,22,71.0,0.0,0.0,11.0,10.39,2.54,28.0,0.6,2.73,13.0,16.0
84,Ensenada,1,Ensenada,044A,23,97.0,4.0,5.0,12.0,9.04,2.5,37.0,0.76,3.34,11.0,32.0
85,Ensenada,1,Ensenada,044A,25,44.0,4.0,0.0,4.0,11.51,2.7,19.0,0.53,2.59,11.0,14.0
86,Ensenada,1,Ensenada,044A,26,55.0,3.0,4.0,9.0,10.85,2.54,24.0,0.87,3.25,8.0,21.0
87,Ensenada,1,Ensenada,044A,28,13.0,0.0,0.0,9.0,6.89,1.33,6.0,1.0,2.17,0.0,21.0
88,Ensenada,1,Ensenada,044A,29,93.0,4.0,0.0,15.0,9.3,2.41,26.0,0.94,3.88,13.0,21.0
89,Ensenada,1,Ensenada,044A,31,5.0,4.0,0.0,15.0,9.3,2.41,4.0,0.94,3.88,13.0,21.0
90,Ensenada,1,Ensenada,044A,32,39.0,4.0,0.0,15.0,10.64,1.54,13.0,0.62,3.25,5.0,7.0
91,Ensenada,1,Ensenada,044A,33,35.0,0.0,3.0,7.0,8.24,2.44,13.0,0.7,3.18,5.0,5.0
92,Ensenada,1,Ensenada,044A,36,82.0,7.0,5.0,6.0,10.11,2.21,20.0,1.03,4.1,9.0,22.0
93,Ensenada,1,Ensenada,044A,37,50.0,3.0,0.0,10.0,11.95,1.96,19.0,0.74,3.57,6.0,16.0
94,Ensenada,1,Ensenada,044A,38,45.0,3.0,4.0,0.0,10.78,2.5,13.0,0.98,3.75,9.0,16.0
95,Ensenada,1,Ensenada,044A,39,7.0,0.0,0.0,0.0,9.0,3.0,4.0,0.78,2.33,0.0,16.0
97,Ensenada,1,Ensenada,0454,1,60.0,0.0,0.0,5.0,9.02,2.3,25.0,0.76,2.73,7.0,22.0
98,Ensenada,1,Ensenada,0454,2,76.0,3.0,0.0,9.0,11.13,2.0,24.0,0.76,3.8,14.0,28.0
99,Ensenada,1,Ensenada,0454,3,30.0,3.0,0.0,3.0,12.38,1.3,8.0,0.67,3.75,6.0,9.0
100,Ensenada,1,Ensenada,0454,4,41.0,3.0,4.0,3.0,9.96,2.29,14.0,0.77,3.15,5.0,7.0
101,Ensenada,1,Ensenada,0454,5,40.0,3.0,4.0,7.0,9.37,2.9,13.0,0.77,3.33,9.0,10.0
102,Ensenada,1,Ensenada,0454,6,68.0,3.0,4.0,11.0,8.64,2.7,18.0,0.85,3.78,10.0,27.0
103,Ensenada,1,Ensenada,0454,7,60.0,3.0,4.0,5.0,7.88,2.88,24.0,0.85,3.16,3.0,32.0
104,Ensenada,1,Ensenada,0454,12,39.0,0.0,3.0,4.0,9.59,2.56,12.0,0.65,3.25,8.0,13.0
105,Ensenada,1,Ensenada,0454,13,51.0,3.0,3.0,3.0,10.68,2.09,15.0,0.85,3.4,9.0,16.0
106,Ensenada,1,Ensenada,0454,14,44.0,3.0,3.0,6.0,8.35,2.76,14.0,1.0,3.38,7.0,18.0
107,Ensenada,1,Ensenada,0454,15,54.0,3.0,3.0,5.0,11.22,1.4,16.0,0.9,3.86,10.0,11.0
108,Ensenada,1,Ensenada,0454,16,53.0,3.0,3.0,5.0,9.89,1.89,19.0,0.87,3.53,10.0,19.0
109,Ensenada,1,Ensenada,0454,17,67.0,3.0,4.0,4.0,9.81,3.3,20.0,0.89,3.94,8.0,16.0
110,Ensenada,1,Ensenada,0454,18,77.0,3.0,4.0,7.0,10.75,2.07,25.0,0.79,3.85,13.0,26.0
111,Ensenada,1,Ensenada,0454,20,50.0,3.0,4.0,4.0,11.13,2.05,16.0,0.77,3.33,11.0,12.0
112,Ensenada,1,Ensenada,0454,21,42.0,0.0,4.0,6.0,11.11,1.7,11.0,0.78,4.2,6.0,12.0
113,Ensenada,1,Ensenada,0454,22,20.0,0.0,0.0,4.0,10.5,1.75,9.0,0.74,2.86,3.0,5.0
114,Ensenada,1,Ensenada,0454,23,28.0,0.0,0.0,4.0,11.3,1.6,10.0,0.74,3.11,6.0,12.0
115,Ensenada,1,Ensenada,0454,24,22.0,0.0,0.0,5.0,8.59,3.0,10.0,1.16,3.67,6.0,10.0
116,Ensenada,1,Ensenada,0454,25,31.0,0.0,0.0,0.0,10.5,1.9,15.0,0.67,3.44,6.0,4.0
117,Ensenada,1,Ensenada,0454,26,33.0,0.0,0.0,6.0,10.18,3.31,10.0,0.92,3.3,4.0,9.0
118,Ensenada,1,Ensenada,0454,27,31.0,0.0,0.0,6.0,12.11,1.57,10.0,0.94,4.43,4.0,10.0
119,Ensenada,1,Ensenada,0454,29,205.0,4.0,7.0,14.0,9.79,2.28,61.0,0.83,3.47,30.0,81.0
120,Ensenada,1,Ensenada,0454,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Ensenada,1,Ensenada,0454,31,49.0,0.0,0.0,5.0,10.6,2.29,13.0,0.71,3.77,9.0,11.0
122,Ensenada,1,Ensenada,0454,32,46.0,0.0,0.0,4.0,9.14,2.82,16.0,0.7,3.54,9.0,15.0
123,Ensenada,1,Ensenada,0454,34,159.0,6.0,6.0,10.0,10.23,2.05,57.0,0.73,3.46,27.0,65.0
124,Ensenada,1,Ensenada,0454,36,21.0,6.0,0.0,10.0,8.14,3.78,7.0,0.66,3.0,4.0,5.0
125,Ensenada,1,Ensenada,0454,38,29.0,0.0,0.0,3.0,12.48,2.07,8.0,0.53,3.63,8.0,10.0
126,Ensenada,1,Ensenada,0454,41,52.0,0.0,0.0,3.0,11.24,1.91,17.0,0.61,3.06,11.0,18.0
127,Ensenada,1,Ensenada,0454,42,13.0,0.0,0.0,3.0,13.83,1.75,8.0,0.34,1.63,8.0,11.0
128,Ensenada,1,Ensenada,0454,43,20.0,0.0,0.0,3.0,13.64,2.88,8.0,0.56,2.5,7.0,5.0
129,Ensenada,1,Ensenada,0454,44,17.0,0.0,0.0,0.0,15.58,1.22,8.0,0.49,2.43,6.0,9.0
130,Ensenada,1,Ensenada,0454,45,17.0,0.0,0.0,0.0,15.07,0.43,8.0,0.41,2.13,8.0,10.0
131,Ensenada,1,Ensenada,0454,46,10.0,0.0,0.0,0.0,15.2,0.0,8.0,0.37,1.67,3.0,4.0
132,Ensenada,1,Ensenada,0454,47,33.0,0.0,0.0,0.0,14.73,0.86,16.0,0.56,3.0,11.0,11.0
133,Ensenada,1,Ensenada,0454,48,65.0,0.0,0.0,0.0,11.2,1.24,17.0,0.81,4.33,12.0,14.0
134,Ensenada,1,Ensenada,0454,49,40.0,0.0,0.0,4.0,13.7,1.57,11.0,0.5,3.64,11.0,15.0
135,Ensenada,1,Ensenada,0454,50,21.0,0.0,0.0,0.0,15.39,1.44,7.0,0.62,3.5,6.0,12.0
136,Ensenada,1,Ensenada,0454,51,34.0,0.0,0.0,0.0,13.83,1.06,10.0,0.62,3.4,10.0,7.0
137,Ensenada,1,Ensenada,0454,52,24.0,0.0,0.0,0.0,12.06,1.6,9.0,0.49,3.0,7.0,10.0
138,Ensenada,1,Ensenada,0454,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Ensenada,1,Ensenada,0454,54,15.0,0.0,0.0,0.0,14.08,1.25,5.0,0.71,3.75,3.0,9.0
140,Ensenada,1,Ensenada,0454,55,28.0,0.0,0.0,0.0,12.32,1.36,7.0,0.61,4.0,7.0,10.0
141,Ensenada,1,Ensenada,0454,56,22.0,0.0,0.0,0.0,13.53,1.45,7.0,0.67,3.14,7.0,6.0
142,Ensenada,1,Ensenada,0454,57,47.0,0.0,0.0,5.0,13.62,2.25,19.0,0.59,2.94,16.0,23.0
143,Ensenada,1,Ensenada,0454,58,16.0,0.0,0.0,5.0,13.25,6.0,7.0,0.53,2.67,6.0,11.0
144,Ensenada,1,Ensenada,0454,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Ensenada,1,Ensenada,0454,60,43.0,0.0,0.0,0.0,16.14,2.22,15.0,0.43,3.08,13.0,5.0
146,Ensenada,1,Ensenada,0454,61,28.0,0.0,0.0,0.0,13.5,2.0,8.0,0.74,4.0,7.0,6.0
147,Ensenada,1,Ensenada,0454,63,43.0,0.0,0.0,0.0,13.67,1.31,17.0,0.63,3.64,11.0,17.0
148,Ensenada,1,Ensenada,0454,64,30.0,0.0,0.0,0.0,13.29,2.2,9.0,0.65,3.75,8.0,15.0
149,Ensenada,1,Ensenada,0454,65,67.0,0.0,3.0,7.0,9.38,1.63,21.0,0.88,3.35,8.0,17.0
151,Ensenada,1,Ensenada,0488,1,43.0,0.0,3.0,7.0,7.23,2.05,13.0,1.13,3.91,8.0,18.0
152,Ensenada,1,Ensenada,0488,2,50.0,0.0,3.0,5.0,6.97,2.38,20.0,1.04,3.13,4.0,20.0
153,Ensenada,1,Ensenada,0488,3,64.0,8.0,3.0,5.0,8.28,2.38,28.0,1.14,3.05,7.0,23.0
154,Ensenada,1,Ensenada,0488,4,132.0,9.0,10.0,5.0,8.41,2.57,40.0,1.18,3.77,8.0,45.0
155,Ensenada,1,Ensenada,0488,5,18.0,9.0,10.0,5.0,8.92,2.43,4.0,1.13,4.5,8.0,11.0
156,Ensenada,1,Ensenada,0488,6,136.0,10.0,9.0,7.0,8.08,2.33,45.0,1.04,3.78,8.0,48.0
157,Ensenada,1,Ensenada,0488,7,117.0,3.0,6.0,7.0,7.32,2.18,31.0,1.17,4.18,4.0,30.0
158,Ensenada,1,Ensenada,0488,8,58.0,3.0,4.0,7.0,8.3,2.83,20.0,0.84,3.41,5.0,23.0
159,Ensenada,1,Ensenada,0488,9,66.0,5.0,4.0,5.0,7.19,2.75,22.0,0.96,3.67,4.0,30.0
160,Ensenada,1,Ensenada,0488,10,114.0,6.0,4.0,8.0,7.84,2.13,30.0,1.02,4.56,11.0,29.0
161,Ensenada,1,Ensenada,0488,11,62.0,6.0,4.0,3.0,8.77,2.11,23.0,0.97,3.88,11.0,18.0
162,Ensenada,1,Ensenada,0488,12,150.0,9.0,9.0,9.0,8.05,2.67,45.0,1.23,4.17,9.0,59.0
163,Ensenada,1,Ensenada,0488,13,58.0,9.0,3.0,6.0,7.44,2.75,15.0,1.05,4.14,5.0,30.0
164,Ensenada,1,Ensenada,0488,14,104.0,7.0,5.0,4.0,8.95,1.85,26.0,1.12,4.33,11.0,32.0
165,Ensenada,1,Ensenada,0488,15,75.0,7.0,3.0,5.0,8.22,2.24,20.0,0.96,3.95,7.0,27.0
166,Ensenada,1,Ensenada,0488,16,64.0,5.0,4.0,5.0,7.98,2.29,19.0,1.07,4.27,4.0,22.0
167,Ensenada,1,Ensenada,0488,17,64.0,3.0,5.0,5.0,9.27,2.36,18.0,0.91,3.59,6.0,21.0
168,Ensenada,1,Ensenada,0488,18,55.0,3.0,3.0,4.0,9.72,1.83,16.0,1.0,4.23,10.0,19.0
169,Ensenada,1,Ensenada,0488,19,53.0,3.0,3.0,4.0,9.2,2.79,14.0,0.91,4.08,7.0,18.0
170,Ensenada,1,Ensenada,0488,20,75.0,4.0,4.0,7.0,7.61,3.12,27.0,0.75,3.13,6.0,28.0
171,Ensenada,1,Ensenada,0488,21,5.0,4.0,4.0,7.0,7.61,3.12,3.0,0.75,3.13,6.0,28.0
172,Ensenada,1,Ensenada,0488,22,80.0,3.0,3.0,5.0,8.47,2.21,25.0,0.82,3.81,6.0,30.0
173,Ensenada,1,Ensenada,0488,23,29.0,0.0,3.0,5.0,8.0,2.36,14.0,0.91,2.64,6.0,10.0
174,Ensenada,1,Ensenada,0488,24,157.0,11.0,11.0,5.0,7.83,2.37,49.0,1.04,3.83,11.0,58.0
175,Ensenada,1,Ensenada,0488,25,54.0,5.0,11.0,5.0,8.43,2.85,20.0,1.06,3.86,5.0,24.0
176,Ensenada,1,Ensenada,0488,26,40.0,5.0,6.0,0.0,7.96,2.08,14.0,1.25,3.64,3.0,5.0
177,Ensenada,1,Ensenada,0488,27,40.0,3.0,3.0,0.0,8.15,2.23,13.0,1.9,3.33,3.0,17.0
178,Ensenada,1,Ensenada,0488,28,82.0,3.0,7.0,0.0,9.59,2.09,21.0,1.22,4.32,6.0,20.0
180,Ensenada,1,Ensenada,0492,1,44.0,3.0,3.0,0.0,13.97,1.29,14.0,0.66,3.38,10.0,17.0
181,Ensenada,1,Ensenada,0492,3,17.0,0.0,0.0,0.0,14.5,1.3,12.0,0.63,2.13,6.0,7.0
182,Ensenada,1,Ensenada,0492,4,21.0,0.0,0.0,0.0,13.53,2.71,9.0,0.48,2.33,9.0,8.0
183,Ensenada,1,Ensenada,0492,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Ensenada,1,Ensenada,0492,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Ensenada,1,Ensenada,0492,13,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
186,Ensenada,1,Ensenada,0492,14,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
187,Ensenada,1,Ensenada,0492,22,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
188,Ensenada,1,Ensenada,0492,24,17.0,0.0,0.0,0.0,12.53,1.5,7.0,0.71,3.4,5.0,6.0
189,Ensenada,1,Ensenada,0492,25,3.0,0.0,0.0,0.0,12.53,1.5,2.0,0.71,3.4,5.0,6.0
190,Ensenada,1,Ensenada,0492,26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
191,Ensenada,1,Ensenada,0492,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Ensenada,1,Ensenada,0492,30,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
193,Ensenada,1,Ensenada,0492,32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194,Ensenada,1,Ensenada,0492,33,22.0,0.0,3.0,0.0,13.69,2.17,8.0,0.67,2.75,6.0,7.0
195,Ensenada,1,Ensenada,0492,35,2.0,0.0,3.0,0.0,13.69,2.17,1.0,0.67,2.75,6.0,7.0
196,Ensenada,1,Ensenada,0492,36,23.0,0.0,3.0,0.0,13.83,1.36,7.0,0.7,3.29,6.0,8.0
197,Ensenada,1,Ensenada,0492,37,19.0,0.0,3.0,0.0,15.23,2.0,7.0,0.64,3.2,5.0,7.0
198,Ensenada,1,Ensenada,0492,38,21.0,0.0,3.0,0.0,15.0,1.55,9.0,0.78,2.63,7.0,11.0
199,Ensenada,1,Ensenada,0492,39,24.0,0.0,3.0,3.0,12.84,1.9,9.0,0.83,3.0,6.0,10.0
200,Ensenada,1,Ensenada,0492,40,7.0,0.0,3.0,3.0,12.84,1.9,2.0,0.83,3.0,6.0,10.0
201,Ensenada,1,Ensenada,0492,42,34.0,3.0,0.0,3.0,11.92,1.62,14.0,0.69,3.09,8.0,14.0
202,Ensenada,1,Ensenada,0492,45,1.0,3.0,0.0,3.0,11.92,1.62,1.0,0.69,3.09,8.0,14.0
203,Ensenada,1,Ensenada,0492,46,1.0,3.0,0.0,3.0,11.92,1.62,2.0,0.69,3.09,8.0,14.0
204,Ensenada,1,Ensenada,0492,48,18.0,3.0,0.0,0.0,14.21,2.0,13.0,0.62,2.57,4.0,6.0
205,Ensenada,1,Ensenada,0492,49,35.0,0.0,0.0,0.0,12.26,1.47,19.0,0.63,2.92,9.0,13.0
206,Ensenada,1,Ensenada,0492,50,27.0,0.0,0.0,0.0,15.5,0.82,23.0,0.6,1.93,11.0,14.0
207,Ensenada,1,Ensenada,0492,51,31.0,0.0,0.0,0.0,13.17,1.85,17.0,0.67,2.82,9.0,11.0
208,Ensenada,1,Ensenada,0492,52,27.0,0.0,0.0,0.0,14.38,1.0,14.0,0.82,3.38,6.0,7.0
209,Ensenada,1,Ensenada,0492,53,22.0,0.0,0.0,0.0,12.0,1.78,7.0,0.76,3.8,4.0,9.0
210,Ensenada,1,Ensenada,0492,54,14.0,0.0,0.0,0.0,14.38,1.67,6.0,0.48,2.8,3.0,6.0
211,Ensenada,1,Ensenada,0492,60,27.0,0.0,0.0,0.0,13.43,1.25,11.0,0.69,3.86,6.0,14.0
212,Ensenada,1,Ensenada,0492,65,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
213,Ensenada,1,Ensenada,0492,66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
214,Ensenada,1,Ensenada,0492,67,31.0,0.0,0.0,0.0,14.07,1.44,16.0,0.39,1.94,12.0,13.0
215,Ensenada,1,Ensenada,0492,71,6.0,0.0,0.0,0.0,14.07,1.44,4.0,0.39,1.94,12.0,13.0
216,Ensenada,1,Ensenada,0492,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Ensenada,1,Ensenada,0492,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,Ensenada,1,Ensenada,0492,79,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
